completeness,A1-A1,A1-A2,A1-B,B-A1,B-B,error A1-A2,error A1-B,error B-A1,form_name
100.0,7,0,0,0,27,[],[],[],00_00_bao_cao_tot_nghiep_du_hoc_sinh.txt
100.0,7,0,0,0,25,[],[],[],00_01_bao_cao_tot_nghiep_du_hoc_sinh.txt
100.0,18,1,0,1,0,"[('user0_current_status', 'user0_occupation')]",[],"[('#another', 'user0_occupation')]",01_00_BCC_thuc_hien_trach_nhiem_du_hoc_sinh.txt
100.0,22,1,0,1,0,"[('user0_current_status', 'user0_occupation')]",[],"[('#another', 'user0_occupation')]",01_01_BCC_thuc_hien_trach_nhiem_du_hoc_sinh.txt
100.0,14,0,0,0,5,[],[],[],02_00_cap_chinh_sach_noi_tru.txt
100.0,11,0,0,0,5,[],[],[],02_01_cap_chinh_sach_noi_tru.txt
100.0,19,0,0,1,22,[],[],"[('#another', 'receiver')]",03_00_cap_chinh_sach_noi_tru_dang_hoc.txt
100.0,17,0,0,1,22,[],[],"[('#another', 'receiver')]",03_01_cap_chinh_sach_noi_tru_dang_hoc.txt
100.0,13,0,0,0,7,[],[],[],06_00_cap_GPLX_quoc_te.txt
100.0,15,0,1,0,7,[],"[('user0_alias_name', '#another')]",[],06_01_cap_GPLX_quoc_te.txt
100.0,8,0,0,0,22,[],[],[],07_00_cap_lai_the_BHYT.txt
100.0,5,0,0,0,23,[],[],[],07_01_cap_lai_the_BHYT.txt
100.0,14,0,0,0,1,[],[],[],08_00_cccd.txt
100.0,15,0,0,0,0,[],[],[],08_01_cccd.txt
100.0,16,0,0,0,1,[],[],[],08_02_cccd.txt
100.0,13,0,0,0,9,[],[],[],09_00_cham_dut_huong_tro_cap_that_nghiep.txt
100.0,12,0,2,0,7,[],"[('receiver', '#another'), ('receiver', '#another')]",[],09_01_cham_dut_huong_tro_cap_that_nghiep.txt
100.0,15,0,0,0,10,[],[],[],10_00_chuyen_noi_huong_tro_cap_that_nghiep.txt
100.0,11,0,1,0,8,[],"[('user0_alias_name', '#another')]",[],10_01_chuyen_noi_huong_tro_cap_that_nghiep.txt
100.0,28,0,0,0,1,[],[],[],11_00_dang_ky_khai_sinh.txt
100.0,27,0,0,0,1,[],[],[],11_01_dang_ky_khai_sinh.txt
100.0,25,0,2,0,1,[],"[('user0_dob_month', '#another'), ('user0_dob_year', '#another')]",[],11_02_dang_ky_khai_sinh.txt
100.0,27,0,0,0,1,[],[],[],11_03_dang_ky_khai_sinh.txt
100.0,7,0,4,0,11,[],"[('place', '#another'), ('day', '#another'), ('month', '#another'), ('year', '#another')]",[],12_00_DDN_cap_doi_GPLX.txt
100.0,11,0,4,0,11,[],"[('place', '#another'), ('day', '#another'), ('month', '#another'), ('year', '#another')]",[],12_01_DDN_cap_doi_GPLX.txt
100.0,7,0,0,0,20,[],[],[],13_00_DDN_gia_han_time_hoc_nuoc_ngoai.txt
100.0,7,0,0,0,18,[],[],[],13_01_DDN_gia_han_time_hoc_nuoc_ngoai.txt
100.0,12,0,8,0,11,[],"[('user0_full_name', '#another'), ('user0_dob_day', '#another'), ('user0_dob_month', '#another'), ('user0_dob_year', '#another'), ('user0_gender', '#another'), ('user0_ethnicity', '#another'), ('user0_permanent_address', '#another'), ('user0_full_name', '#another')]",[],14_00_DDN_ho_tro_chi_phi_mai_tang.txt
100.0,12,0,8,0,11,[],"[('user0_full_name', '#another'), ('user0_dob', '#another'), ('user0_gender', '#another'), ('user0_ethnicity', '#another'), ('user0_permanent_address', '#another'), ('user0_full_name', '#another'), ('user0_dob_month', '#another'), ('user0_dob_year', '#another')]",[],14_01_DDN_ho_tro_chi_phi_mai_tang.txt
100.0,10,0,0,0,2,[],[],[],15_00_DDN_ho_tro_hoc_tap.txt
100.0,11,0,0,0,2,[],[],[],15_01_DDN_ho_tro_hoc_tap.txt
100.0,11,0,1,1,12,[],"[('receiver', '#another')]","[('#another', 'user0_occupation')]",16_00_DDN_huong_che_do_benh_nghe_nghiep.txt
100.0,16,0,0,4,9,[],[],"[('#another', 'user0_occupation'), ('#another', 'day'), ('#another', 'month'), ('#another', 'receiver')]",16_01_DDN_huong_che_do_benh_nghe_nghiep.txt
100.0,16,0,0,0,28,[],[],[],17_00_de_nghi_ho_tro_hoc_nghe.txt
100.0,16,0,0,0,18,[],[],[],17_01_de_nghi_ho_tro_hoc_nghe.txt
100.0,14,0,0,0,22,[],[],[],17_02_de_nghi_ho_tro_hoc_nghe.txt
100.0,15,0,0,0,17,[],[],[],18_00_de_nghi_huong_tro_cap_that_nghiep.txt
100.0,16,0,0,0,15,[],[],[],18_01_de_nghi_huong_tro_cap_that_nghiep.txt
100.0,18,0,0,0,14,[],[],[],18_02_de_nghi_huong_tro_cap_that_nghiep.txt
100.0,15,0,0,0,5,[],[],[],19_00_de_nghi_khong_huong_tro_cap_that_nghiep.txt
100.0,18,0,0,0,5,[],[],[],19_01_de_nghi_khong_huong_tro_cap_that_nghiep.txt
100.0,15,0,0,0,5,[],[],[],19_02_de_nghi_khong_huong_tro_cap_that_nghiep.txt
100.0,30,0,5,1,17,[],"[('receiver', '#another'), ('user0_full_name', '#another'), ('user0_full_name', '#another'), ('user0_full_name', '#another'), ('user0_full_name', '#another')]","[('#another', 'user0_full_name')]",20_00_de_nghi_Nhan_che_do_BHXH_khi_nguoi_huong_tu_tran.txt
100.0,27,0,5,0,15,[],"[('receiver', '#another'), ('user0_full_name', '#another'), ('user0_full_name', '#another'), ('user0_full_name', '#another'), ('user0_full_name', '#another')]",[],20_01_de_nghi_Nhan_che_do_BHXH_khi_nguoi_huong_tu_tran.txt
100.0,13,0,0,0,7,[],[],[],21_00_de_nghi_xac_nhan_cap_ho_tro.txt
100.0,15,0,0,0,7,[],[],[],21_01_de_nghi_xac_nhan_cap_ho_tro.txt
100.0,14,0,0,0,6,[],[],[],21_02_de_nghi_xac_nhan_cap_ho_tro.txt
100.0,13,0,0,0,13,[],[],[],22_00_dk_xe1.txt
100.0,14,0,0,0,14,[],[],[],22_01_dk_xe1.txt
100.0,11,0,0,0,9,[],[],[],22_02_dk_xe1.txt
100.0,15,0,0,0,12,[],[],[],23_00_doi_ho_ten_cho_con.txt
100.0,18,0,0,0,10,[],[],[],23_01_doi_ho_ten_cho_con.txt
100.0,16,0,0,0,13,[],[],[],23_02_doi_ho_ten_cho_con.txt
100.0,13,0,0,0,16,[],[],[],24_00_don_de_nghi_ho_tro.txt
100.0,11,0,0,0,16,[],[],[],24_01_don_de_nghi_ho_tro.txt
100.0,17,0,0,0,2,[],[],[],25_00_don_de_nghi_xac _minh_cmnd.txt
100.0,14,0,1,1,0,[],"[('user0_id_number', '#another')]","[('#another', 'receiver')]",25_01_don_de_nghi_xac _minh_cmnd.txt
100.0,11,0,2,2,1,[],"[('user0_id_issue_date', '#another'), ('user0_current_address', '#another')]","[('#another', 'user0_full_name'), ('#another', 'user0_full_name')]",26_00_don_khieu_nai.txt
100.0,10,0,2,1,1,[],"[('user0_id_issue_date', '#another'), ('user0_current_address', '#another')]","[('#another', 'user0_full_name')]",26_01_don_khieu_nai.txt
100.0,10,0,1,0,23,[],"[('receiver', '#another')]",[],27_00_don_khoi_kien.txt
100.0,10,0,1,0,24,[],"[('receiver', '#another')]",[],27_01_don_khoi_kien.txt
100.0,11,0,1,0,22,[],"[('receiver', '#another')]",[],27_02_don_khoi_kien.txt
100.0,19,0,0,0,3,[],[],[],28_00_don_to_cao.txt
100.0,18,0,0,0,3,[],[],[],28_01_don_to_cao.txt
100.0,17,0,0,0,4,[],[],[],28_02_don_to_cao.txt
100.0,10,0,0,0,10,[],[],[],29_00_don_xin_chuyen_truong_tieu_hoc_trong_nuoc.txt
100.0,11,1,0,0,10,"[('user0_current_status', 'user0_occupation')]",[],[],29_01_don_xin_chuyen_truong_tieu_hoc_trong_nuoc.txt
100.0,6,0,0,2,6,[],[],"[('#another', 'user0_permanent_address'), ('#another', 'user0_current_address')]",30_00_don_xin_giao_dat.txt
100.0,6,0,0,2,6,[],[],"[('#another', 'user0_permanent_address'), ('#another', 'user0_current_address')]",30_01_don_xin_giao_dat.txt
100.0,8,0,0,0,6,[],[],[],31_00_don_xin_mien_giam_hoc_phi.txt
100.0,9,0,0,0,6,[],[],[],31_01_don_xin_mien_giam_hoc_phi.txt
100.0,10,0,0,0,5,[],[],[],31_02_don_xin_mien_giam_hoc_phi.txt
100.0,10,0,0,0,10,[],[],[],32_00_don_xin_rut_ho_so.txt
100.0,10,0,0,0,11,[],[],[],32_01_don_xin_rut_ho_so.txt
100.0,4,0,0,0,8,[],[],[],33_00_don_xin_thoi_hoc.txt
100.0,4,0,0,0,7,[],[],[],33_01_don_xin_thoi_hoc.txt
100.0,14,0,0,0,6,[],[],[],34_00_giay_cam_ket.txt
100.0,16,0,0,0,6,[],[],[],34_01_giay_cam_ket.txt
100.0,16,0,0,0,6,[],[],[],34_02_giay_cam_ket.txt
100.0,8,0,0,0,6,[],[],[],35_00_giay_de_nghi_kham_giam_dinh.txt
100.0,9,0,0,0,6,[],[],[],35_01_giay_de_nghi_kham_giam_dinh.txt
100.0,6,0,1,0,19,[],"[('user0_full_name', '#another')]",[],36_00_giay_de_nghi_mua_dien_cho_ngoai_sinh_hoat.txt
100.0,5,0,0,0,19,[],[],[],36_01_giay_de_nghi_mua_dien_cho_ngoai_sinh_hoat.txt
100.0,6,0,0,0,16,[],[],[],36_02_giay_de_nghi_mua_dien_cho_ngoai_sinh_hoat.txt
100.0,5,0,2,0,25,[],"[('user0_full_name', '#another'), ('user0_full_name', '#another')]",[],37_00_giay_phep_xay_dung.txt
100.0,22,2,0,0,6,"[('user0_current_address', 'user0_permanent_address'), ('user0_current_address', 'user0_permanent_address')]",[],[],38_00_giay_uy_quyen.txt
100.0,24,0,0,0,6,[],[],[],38_01_giay_uy_quyen.txt
100.0,5,0,6,0,13,[],"[('user0_full_name', '#another'), ('user0_id_number', '#another'), ('user0_id_issue_place', '#another'), ('user0_id_issue_day', '#another'), ('user0_id_issue_month', '#another'), ('user0_id_issue_year', '#another')]",[],39_00_hoi_dap_chi_cuc_thue.txt
100.0,5,0,3,0,13,[],"[('user0_full_name', '#another'), ('user0_id_number', '#another'), ('user0_id_issue_place', '#another')]",[],39_01_hoi_dap_chi_cuc_thue.txt
100.0,17,0,0,0,12,[],[],[],40_00_mau_giay_gioi_thieu_denghi_giam_dinh.txt
100.0,16,0,0,0,10,[],[],[],40_01_mau_giay_gioi_thieu_denghi_giam_dinh.txt
100.0,17,0,0,0,10,[],[],[],40_02_mau_giay_gioi_thieu_denghi_giam_dinh.txt
100.0,11,0,0,0,20,[],[],[],41_00_Mẫu số 16 - TT 28.txt
100.0,9,0,0,0,18,[],[],[],41_01_Mẫu số 16 - TT 28.txt
100.0,19,0,0,0,10,[],[],[],42_00_Mẫu TK04 khôi phục HC TK04 MỚI.txt
100.0,17,0,0,0,10,[],[],[],42_01_Mẫu TK04 khôi phục HC TK04 MỚI.txt
100.0,20,0,0,0,9,[],[],[],43_00_Mẫu TK05 báo mất HC 05 7 TK05 MỚI.txt
100.0,19,0,0,0,7,[],[],[],43_01_Mẫu TK05 báo mất HC 05 7 TK05 MỚI.txt
100.0,12,0,0,3,15,[],[],"[('#another', 'receiver'), ('#another', 'receiver'), ('#another', 'receiver')]",44_00_Quyet_dinh_viec_nghi_viec_huong_che_do_huu_tri.txt
100.0,12,0,0,3,13,[],[],"[('#another', 'receiver'), ('#another', 'receiver'), ('#another', 'receiver')]",44_01_Quyet_dinh_viec_nghi_viec_huong_che_do_huu_tri.txt
100.0,9,0,0,0,4,[],[],[],45_00_thay_doi_thong_tin_cu_tru.txt
100.0,7,0,0,0,4,[],[],[],45_01_thay_doi_thong_tin_cu_tru.txt
100.0,17,0,0,0,12,[],[],[],46_00_thay_doi_thong_tin_cu_tru_nuoc_ngoai.txt
100.0,18,0,0,0,10,[],[],[],46_01_thay_doi_thong_tin_cu_tru_nuoc_ngoai.txt
100.0,11,0,2,0,7,[],"[('receiver', '#another'), ('user0_id_number', '#another')]",[],47_00_thay_doi_thong_tin_nguoi_huong.txt
100.0,11,0,2,0,7,[],"[('receiver', '#another'), ('user0_id_number', '#another')]",[],47_01_thay_doi_thong_tin_nguoi_huong.txt
100.0,4,0,0,0,7,[],[],[],48_00_thong_tin_co_ban.txt
100.0,12,0,4,0,3,[],"[('user0_birth_registration_place_ward', '#another'), ('user0_birth_registration_place_district', '#another'), ('user0_birth_registration_place_province', '#another'), ('user0_full_name', '#another')]",[],49_00_TK1-TS.txt
100.0,10,0,4,0,3,[],"[('user0_birth_registration_place_ward', '#another'), ('user0_birth_registration_place_district', '#another'), ('user0_birth_registration_place_province', '#another'), ('user0_full_name', '#another')]",[],49_01_TK1-TS.txt
100.0,16,0,0,0,11,[],[],[],50_00_TKDK_thay_doi_bo_sung_ho_tich_xacdinhlai_dantoc.txt
100.0,18,0,0,0,9,[],[],[],50_01_TKDK_thay_doi_bo_sung_ho_tich_xacdinhlai_dantoc.txt
100.0,36,0,1,0,5,[],"[('user0_current_address', '#another')]",[],51_00_TK_cap_ho_chieu_tre_em.txt
100.0,30,0,1,0,5,[],"[('user0_current_address', '#another')]",[],51_01_TK_cap_ho_chieu_tre_em.txt
100.0,23,0,0,0,3,[],[],[],52_00_TK_dang_ky_CMC.txt
100.0,25,0,0,0,3,[],[],[],52_01_TK_dang_ky_CMC.txt
100.0,25,0,1,0,5,[],"[('user0_id_number', '#another')]",[],53_00_TK_DKLai_viec_nuoi_con_nuoi.txt
100.0,29,0,1,0,3,[],"[('user0_id_number', '#another')]",[],53_01_TK_DKLai_viec_nuoi_con_nuoi.txt
100.0,23,0,0,0,7,[],[],[],54_00_TK_DK_cham_dut_giam_ho.txt
100.0,27,0,0,0,7,[],[],[],54_01_TK_DK_cham_dut_giam_ho.txt
100.0,23,0,0,0,2,[],[],[],55_00_TK_DK_giam_ho.txt
100.0,22,0,0,0,1,[],[],[],55_01_TK_DK_giam_ho.txt
100.0,22,0,0,0,1,[],[],[],55_02_TK_DK_giam_ho.txt
100.0,15,0,0,1,13,[],[],"[('#another', 'user0_current_address')]",56_00_TK_DK_khai_tu.txt
100.0,17,0,0,1,11,[],[],"[('#another', 'user0_current_address')]",56_01_TK_DK_khai_tu.txt
100.0,14,0,0,1,11,[],[],"[('#another', 'user0_current_address')]",56_02_TK_DK_khai_tu.txt
100.0,23,0,0,0,3,[],[],[],57_00_TK_DK_nhan_CMC.txt
100.0,24,0,0,0,3,[],[],[],57_01_TK_DK_nhan_CMC.txt
100.0,22,0,0,0,3,[],[],[],57_02_TK_DK_nhan_CMC.txt
100.0,10,0,0,0,4,[],[],[],58_00_TK_thay_doi_thong_tin_cu_tru.txt
100.0,2,0,0,0,23,[],[],[],59_00_to_khai_thue_thu_nhap_ca_nhan.txt
100.0,2,0,0,0,25,[],[],[],59_01_to_khai_thue_thu_nhap_ca_nhan.txt
100.0,17,0,1,0,1,[],"[('user0_id_number', '#another')]",[],60_00_xac_minh_cccd.txt
100.0,15,0,1,0,1,[],"[('user0_id_number', '#another')]",[],60_01_xac_minh_cccd.txt
100.0,18,0,1,0,1,[],"[('user0_id_number', '#another')]",[],60_02_xac_minh_cccd.txt
100.0,6,0,0,0,20,[],[],[],61_00_xac_nhan_thu_nhap.txt
100.0,6,0,0,1,20,[],[],"[('#another', 'year')]",61_01_xac_nhan_thu_nhap.txt
100.0,14,0,0,0,13,[],[],[],62_00_xet_cap_hoc_bong_chinh_sach.txt
100.0,14,0,0,0,13,[],[],[],62_01_xet_cap_hoc_bong_chinh_sach.txt
100.0,4,0,0,0,5,[],[],[],63_00_xinviec.txt
100.0,11,0,0,0,5,[],[],[],63_01_xinviec.txt
100.0,8,0,1,0,7,[],"[('user0_full_name', '#another')]",[],64_00_ĐN_chi_tra_tien_mien_giam_hoc_phi.txt
100.0,10,0,1,0,7,[],"[('user0_full_name', '#another')]",[],64_01_ĐN_chi_tra_tien_mien_giam_hoc_phi.txt
100.0,11,0,1,0,7,[],"[('user0_full_name', '#another')]",[],64_02_ĐN_chi_tra_tien_mien_giam_hoc_phi.txt
